"ID","timestamp","Status","AdId","UserID"
1,"2023-08-01 00:00:00","Skipped","25d3748899b6a7abd4bff21e3dbb7271",1
1,"2023-08-02 00:00:00","Watched","25d3748899b6a7abd4bff21e3dbb7271",1
1,"2023-08-03 00:00:00","Watched","25d3748899b6a7abd4bff21e3dbb7271",1
1,"2023-08-04 00:00:00","Skipped","25d3748899b6a7abd4bff21e3dbb7271",1
1,"2023-08-05 00:00:00","In Progress","25d3748899b6a7abd4bff21e3dbb7271",1
1,"2023-08-06 00:00:00","Watched","25d3748899b6a7abd4bff21e3dbb7271",1
1,"2023-08-07 00:00:00","Watched","25d3748899b6a7abd4bff21e3dbb7271",1
1,"2023-08-08 00:00:00","In Progress","25d3748899b6a7abd4bff21e3dbb7271",1
1,"2023-08-09 00:00:00","Not Played","25d3748899b6a7abd4bff21e3dbb7271",1
1,"2023-08-10 00:00:00","Skipped","25d3748899b6a7abd4bff21e3dbb7271",1
1,"2023-08-11 00:00:00","Watched","25d3748899b6a7abd4bff21e3dbb7271",1
1,"2023-08-12 00:00:00","Not Played","25d3748899b6a7abd4bff21e3dbb7271",1
1,"2023-08-13 00:00:00","Skipped","25d3748899b6a7abd4bff21e3dbb7271",1
1,"2023-08-14 00:00:00","Watched","25d3748899b6a7abd4bff21e3dbb7271",1
1,"2023-08-15 00:00:00","Watched","25d3748899b6a7abd4bff21e3dbb7271",1
1,"2023-08-16 00:00:00","Not Played","25d3748899b6a7abd4bff21e3dbb7271",1
1,"2023-08-17 00:00:00","Skipped","25d3748899b6a7abd4bff21e3dbb7271",1
1,"2023-08-18 00:00:00","In Progress","25d3748899b6a7abd4bff21e3dbb7271",1
1,"2023-08-19 00:00:00","Watched","25d3748899b6a7abd4bff21e3dbb7271",1
1,"2023-08-20 00:00:00","Skipped","25d3748899b6a7abd4bff21e3dbb7271",1
1,"2023-08-21 00:00:00","Not Played","25d3748899b6a7abd4bff21e3dbb7271",1
1,"2023-08-22 00:00:00","In Progress","25d3748899b6a7abd4bff21e3dbb7271",1
1,"2023-08-23 00:00:00","Not Played","25d3748899b6a7abd4bff21e3dbb7271",1
1,"2023-08-24 00:00:00","Not Played","25d3748899b6a7abd4bff21e3dbb7271",1
1,"2023-08-25 00:00:00","Not Played","25d3748899b6a7abd4bff21e3dbb7271",1
1,"2023-08-26 00:00:00","Skipped","25d3748899b6a7abd4bff21e3dbb7271",1
1,"2023-08-27 00:00:00","Skipped","25d3748899b6a7abd4bff21e3dbb7271",1
1,"2023-08-28 00:00:00","In Progress","25d3748899b6a7abd4bff21e3dbb7271",1
1,"2023-08-29 00:00:00","Skipped","25d3748899b6a7abd4bff21e3dbb7271",1
1,"2023-08-30 00:00:00","Watched","25d3748899b6a7abd4bff21e3dbb7271",1
1,"2023-08-31 00:00:00","Not Played","25d3748899b6a7abd4bff21e3dbb7271",1
1,"2023-09-01 00:00:00","Not Played","25d3748899b6a7abd4bff21e3dbb7271",1
1,"2023-09-02 00:00:00","Skipped","25d3748899b6a7abd4bff21e3dbb7271",1
1,"2023-09-03 00:00:00","Not Played","25d3748899b6a7abd4bff21e3dbb7271",1
1,"2023-09-04 00:00:00","Not Played","25d3748899b6a7abd4bff21e3dbb7271",1
1,"2023-09-05 00:00:00","Not Played","25d3748899b6a7abd4bff21e3dbb7271",1
1,"2023-09-06 00:00:00","Watched","25d3748899b6a7abd4bff21e3dbb7271",1
1,"2023-09-07 00:00:00","Skipped","25d3748899b6a7abd4bff21e3dbb7271",1
1,"2023-09-08 00:00:00","Skipped","25d3748899b6a7abd4bff21e3dbb7271",1
1,"2023-09-09 00:00:00","In Progress","25d3748899b6a7abd4bff21e3dbb7271",1
